"ID","Parcel ID","Address","City","County","State","Enrolled in Appeals","Assessment Enrollment Level (2025)"
"PRCommon4-Kinsman Pointe","31-25-30-3639-0001-00Y0","0 Bridge Brook Dr","Kissimmee","Osceola","FL","False","Assessments (Broken Out)"
"PRCommon3-Kinsman Pointe","3125303647000100R3","0 Aldenwood PL","Kissimmee","Osceola","FL","False","Assessments (Broken Out)"
"PRCommon2-Kinsman Pointe","31-25-30-3647-0001-00X2","0 Ranch Side Rd- Lot 2","Kissimmee","Osceola","FL","False","Assessments (Broken Out)"
"PRCommon1-Kinsman Pointe","3125303647000100R2","0 Ranch Side Rd- Lot 1","Kissimmee","Osceola","FL","False","Assessments (Broken Out)"
"999825","U-07-30-21-36C-000003-00014.0","2334 Needham Dr","Valrico","Hillsborough","FL","False","Assessments (Broken Out)"
"99964","05-26-21-0120-00200-0170","35019 Meadow Reach Dr","ZEPHYRHILLS","Pasco","FL","False","Assessments (Broken Out)"
"99947","U-17-31-20-5YX-C00000-00009.0","10555 Opus Dr","RIVERVIEW","Hillsborough","FL","False","Assessments (Broken Out)"
"99930","14-22-31-0788-00-140","2401 Radnor Ave","ORLANDO","Orange","FL","False","Assessments (Broken Out)"
"999192","106869-0620","1010 Whirlaway Cir S","JACKSONVILLE","Duval","FL","False","Assessments (Broken Out)"
"99875","U-28-30-20-77F-000000-00086.0","11255 Creek Haven Dr","RIVERVIEW","Hillsborough","FL","False","Assessments (Broken Out)"
"99866","26-24-26-2420-000-00200","1135 Cedarwood Way","CLERMONT","Lake","FL","False","Assessments (Broken Out)"
"99835","6042500786980341","3645C Creswick Cir","ORANGE PARK","Clay","FL","False","Assessments (Broken Out)"
"998331","02-22-31-7839-03-420","4310 Boca Woods Dr","ORLANDO","Orange","FL","False","Assessments (Broken Out)"
"997673","U-02-30-19-C8B-000032-00007.0","7218 Spring Snowflake Ave","Tampa","Hillsborough","FL","False","Assessments (Broken Out)"
"997672","U-02-30-19-C8B-000032-00009.0","7214 Spring Snowflake Ave","Tampa","Hillsborough","FL","False","Assessments (Broken Out)"
"997670","29-26-18-0120-01700-0080","2191 Azure View Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"997668","29-26-18-0120-01800-0070","2153 Azure View Way","Lutz","Pasco","FL","False","Assessments (Broken Out)"
"997373","5062601523400863","2206 Pebble Point Dr","GREEN COVE SPRINGS","Clay","FL","False","Assessments (Broken Out)"
"996627","R02 123 21 1317 0000 0710","34522 Cedarfield Dr","DADE CITY","Hernando","FL","False","Assessments (Broken Out)"
"996535","25-19-25-0180-000-06000","4810 Marsh Harbor Dr","Tavares","Lake","FL","False","Assessments (Broken Out)"
